"","","original.lm","incognito.lm","beta.lm","tclose.lm"
"2192",20,95.6497569025182,159.377307673266,154.36412847549,154.273273290207
"389",21,69.8018506302608,19.7969696550898,82.6553038765302,85.8206338738754
"500",23,96.9019820665604,119.612133581103,243.338922851544,250.192105114669
"2671",23,75.9905085521846,66.2460889674311,94.1342070703269,98.0529482995752
"1830",24,90.7720145437662,146.462130193885,180.908753519529,181.933697973571
"2665",24,81.1634993452668,86.2250771841964,209.948359070784,217.174270041454
"1477",25,102.722344234108,173.193603338449,129.663824546206,133.476482664536
"578",27,77.0485694501549,94.5957579841811,131.743363583162,137.182121402522
"650",27,57.0163561702973,-27.0102290026173,93.6784623085195,101.525971250563
"2039",27,95.8324609824888,86.1822443759633,116.423911666782,113.779181390139
"2424",27,87.4304055049964,62.0656671391395,80.2412267450503,88.5596032484625
"1962",29,69.9102387860663,89.4200482430861,108.800348273082,109.906635157222
"2096",31,82.6611390847744,116.124236353852,155.002144297173,155.038774057696
"2242",31,73.1512076164647,9.26770244445862,119.741249410236,125.054837381303
"270",32,131.596793759766,124.766034227587,155.808153298135,153.482329029477
"546",32,122.296348873111,130.764626511983,163.003624445557,167.409066548119
"1420",32,94.1481325326075,161.844908664334,48.6674662416569,47.7631331093764
"1986",32,94.4277291163206,51.2656629719154,163.238842367758,164.251071228413
"41",35,100.958472616721,114.326463446901,209.052504315076,216.205890462249
"54",35,86.5015999978275,35.3086382671018,169.000411365593,175.6378439485
"204",35,78.1847044462398,101.100369061263,188.268023611998,192.89455087902
"948",35,109.705383680215,54.4427126671827,46.4166902778357,52.8970761216659
"2035",35,98.1872410611384,37.4656368277286,47.8830946379063,51.2629639218528
"2430",35,79.4211795076196,27.3013777360574,81.5984369393777,83.8673424797112
"776",37,107.478375456356,77.6382249386194,210.969321357482,212.108643962249
"2248",37,134.440387183587,118.93199077007,82.9270258502322,82.1682910803214
"2637",37,99.3260841857278,129.419348724714,12.5327738306002,10.4733876522847
"1462",38,98.752726182299,168.807322083725,157.154196474686,161.322230888314
"359",39,133.901506005243,120.356649683077,285.950751120637,286.656566606165
"1166",40,57.5606462075756,60.6071703191118,69.3198065197785,74.9698483947084
"1620",40,63.8500017977151,-16.5033282540826,101.043763703138,106.391702582066
"2309",40,113.532063186063,153.41091899437,-3.27354573843313,-2.73223780852205
"2343",40,85.1643864760311,28.1680599356956,18.0863922706094,31.786927929216
"2587",40,127.62370095547,108.132009525617,211.991285235997,215.276769413297
"301",41,126.209379595579,112.708584758289,245.59768384474,252.696496288642
"2652",41,81.4670939148088,112.45117606672,162.93644338447,163.821359804687
"513",42,57.7124709364987,-24.4509800965096,87.8793685951106,94.7624361414489
"243",44,84.0997831389945,11.4039223930086,205.311546292477,209.912717351737
"281",44,86.0036695940633,34.1948268860783,171.135616739481,177.656894586377
"626",44,81.362638072644,115.037710006626,59.690624673648,63.4684704860641
"1369",44,83.8551842547401,119.797296640984,147.067845209874,146.256188310706
"1418",44,76.0372283601598,17.7276343997463,101.737445861751,105.470615249445
"1788",44,114.749338011687,180.263557468435,163.73093766128,156.990619932926
"2538",44,96.1094380496576,109.427955795169,85.5076732974938,87.6188555975893
"2613",44,78.021114245058,119.75794208312,134.706957495439,136.801559073096
"43",45,62.3417658827814,70.2998466042614,51.6316411204163,59.5238264871818
"1876",45,85.1309305503027,112.514554310972,135.252625955004,138.773317464388
"1768",46,93.4160278518644,109.419581895871,103.40623544007,100.584825907488
"1328",47,112.683846472668,194.660360688158,185.012964474107,185.978440921031
"1521",47,83.1755590242489,22.9033441408413,124.680461171833,132.746101494746
"2005",47,114.177637683961,198.001794831228,178.607348352442,179.921289007402
"2504",47,79.6822130392807,20.9156996078153,27.5246204335532,34.3121638654208
"434",48,83.918033423964,111.966180987657,96.6579170435696,101.445494167653
"1298",48,104.063378216232,186.821009306788,85.2946170454815,80.4926698089118
"2469",48,87.6569326581271,32.9276465700526,105.463612806837,114.574645753858
"2882",48,82.6776286204846,21.7895327598179,126.815666545721,134.765152132622
"2982",48,70.2495179839924,104.191867782589,67.1531077324641,71.4789137938577
"22",50,90.7477467377411,50.2634692082896,181.123992752458,182.578113534432
"160",50,119.853056487804,211.699157547571,151.456200900146,152.967247519523
"600",50,55.8637316385025,60.8198635143351,65.3402800311352,66.0871636991395
"672",50,110.571427800884,86.3815252986451,30.1386819351288,25.3622744072046
"1464",50,83.1561753252638,118.047518005635,54.8136915176147,60.1367524057961
"1489",50,85.467026680633,27.0269635208744,117.668322641911,127.395332776601
"1671",50,92.670010210092,55.1193772278465,125.66502758958,126.980430742309
"1758",50,81.0320126802689,103.506249032369,114.661720592055,121.029716299511
"1786",50,83.2797450462178,60.9234937902827,66.5582273031692,63.9025580184273
"2572",50,82.952097602543,94.234450046583,191.022394964922,194.15823088075
"2752",50,108.311870247839,85.283932430521,167.912051015016,172.212668591362
"2863",50,110.575082896254,117.341678010823,154.084886195318,150.835117739108
"2884",50,122.84063891039,218.382025833712,138.644968656816,140.852943692265
"853",51,96.4898632390242,82.6874412978914,55.0223184819128,54.7350338333734
"84",52,51.6870430412951,45.4643700776843,100.134842311594,106.668374353825
"280",52,84.2676823408626,163.375510605511,81.7269015731025,84.5388582753074
"847",52,65.4338041475317,74.3961809504969,142.066227587908,147.762411978546
"2057",52,86.895074559427,39.0089835880306,63.6193872808819,73.2659039920006
"2480",52,70.7631172765339,1.92158187019533,135.609847584833,142.620008875284
"560",53,84.3614108611345,167.407482070502,-25.182805477242,-20.5585155145534
"2410",53,107.25444417106,54.9277077462457,112.695216618736,115.2729417587
"1509",54,71.7589780840624,4.14920463224226,131.339436837056,138.581907599532
"2060",54,92.5493943672502,88.7137018888849,87.3023593774643,90.0739561814449
"2211",54,105.499156175065,102.981063006356,184.293399578878,183.240026893709
"269",55,108.327350530305,159.924433252909,202.188379484204,207.962276020191
"324",55,79.132536049473,75.9692395517571,-14.063692045345,-5.5035183695327
"508",55,85.9649570843972,28.1407749018979,115.533117268023,125.376282138725
"665",55,91.818415619598,106.658126025182,-11.0416450325313,-11.5214652272204
"704",55,65.0953455965386,68.6737551103772,84.9350451508174,92.7563656975331
"828",55,64.3351574759765,87.1851101495983,126.36986050866,124.09547723891
"840",55,74.1237524113679,34.4298865433972,122.704843322513,124.674275051877
